Name,AppID,Category,Metacritic,Year
3DMark,223850.0,Utilidades,N/A,Unknown
Assassin's Creed Unity,289650.0,"Action, Adventure",N/A,2014.0
Baldur's Gate 3,1086940.0,"Adventure, RPG, Strategy",96,2023.0
Batman: Arkham Asylum GOTY Edition,35140.0,"Action, Adventure",91,2010.0
Batman: Arkham City GOTY,200260.0,"Action, Adventure",91,2012.0
Batman™: Arkham Knight,208650.0,"Action, Adventure",N/A,2015.0
Beat Saber,620980.0,Indie,93,2019.0
BioShock,7670.0,"Action, RPG",96,2007.0
BioShock 2,8850.0,Action,88,2010.0
BioShock 2 Remastered,409720.0,"Action, RPG",N/A,2016.0
BioShock Infinite,8870.0,Action,94,2013.0
BioShock Remastered,409710.0,"Action, RPG",80,2016.0
Blade & Sorcery,629730.0,"Action, Adventure, Indie, RPG, Simulation",N/A,2024.0
Borderlands 3,397540.0,"Action, RPG",81,Unknown
CODE VEIN,678960.0,"Action, RPG",72,Unknown
DARK SOULS™ II: Scholar of the First Sin,335300.0,"Action, RPG",79,2015.0
DARK SOULS™ III,374320.0,Action,89,2016.0
DARK SOULS™: REMASTERED,570940.0,Action,84,2018.0
DOOM Eternal,782330.0,Action,88,Unknown
Death's Door,894020.0,"Action, Adventure, Indie, RPG",85,2021.0
Disney Epic Mickey: Rebrushed,1522160.0,"Action, Adventure",75,2024.0
Dragon's Dogma: Dark Arisen,367500.0,"Action, Adventure, RPG",81,2016.0
Eastshade,715560.0,"Adventure, Indie",78,2019.0
Enshrouded,1203620.0,"Action, Adventure, RPG, Early Access",N/A,Unknown
Fallout 4,377160.0,RPG,84,2015.0
Far Cry 5,552520.0,"Action, Adventure",N/A,2018.0
Far Cry Primal,371660.0,"Action, Adventure",74,2016.0
For Honor,304390.0,Action,76,2024.0
For Honor - Public Test,654310.0,Unknown,N/A,Unknown
Ghost Recon Breakpoint,2231380.0,"Action, Adventure",N/A,2023.0
Grand Theft Auto V,271590.0,Unknown,N/A,Unknown
Groupy,912170.0,"Software Training, Utilities",N/A,2019.0
Groupy 2,2296360.0,"Indie, Utilities",N/A,2023.0
GunZ 2: The Second Duel,242720.0,"Action, Indie, Free To Play",N/A,2014.0
HELLDIVERS™ 2,553850.0,Action,N/A,Unknown
Halo: The Master Chief Collection,976730.0,Action,N/A,Unknown
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,2552430.0,"Action, Adventure, RPG",N/A,2024.0
KINGDOM HEARTS HD 2.8 Final Chapter Prologue,2552440.0,"Action, Adventure, RPG",N/A,2024.0
KINGDOM HEARTS III + Re Mind (DLC),2552450.0,"Action, Adventure, RPG",N/A,2024.0
LEGO® The Lord of the Rings™,214510.0,"Action, Adventure",80,2012.0
Lossless Scaling,993090.0,Utilities,N/A,2018.0
Lunch Lady,1571440.0,"Action, Adventure, Indie",N/A,2021.0
Mafia II (Classic),50130.0,Action,77,2011.0
Mafia II: Definitive Edition,1030830.0,"Action, Adventure",N/A,2020.0
Mafia III: Definitive Edition,360430.0,"Action, Adventure",N/A,2020.0
Mafia: Definitive Edition,1030840.0,"Action, Adventure",78,2020.0
Mass Effect™ Legendary Edition,1328670.0,"Action, RPG",86,Unknown
Metaphor: ReFantazio,2679460.0,"Action, Adventure, RPG",92,2024.0
Monster Hunter: World,582010.0,Action,88,2018.0
Noun Town Language Learning,2313720.0,"Adventure, Casual, Simulation, Early Access",N/A,2023.0
ONE PIECE ODYSSEY,814000.0,"Action, Adventure, Casual, RPG",77,2023.0
PAYDAY 3,1272080.0,"Action, Adventure, RPG",N/A,2023.0
Pavlov VR,555160.0,"Action, Indie",N/A,2024.0
Quantum Break,474960.0,Action,66,2016.0
RUMBLE,890550.0,"Action, Sports, Early Access",N/A,2022.0
Rayman Legends,242550.0,"Action, Adventure",89,2013.0
Red Dead Redemption 2,1174180.0,"Action, Adventure",93,2019.0
RoboCop: Rogue City,1681430.0,"Action, Adventure",76,2023.0
Rocksmith® 2014 Edition - Remastered,221680.0,"Casual, Simulation",N/A,2013.0
STAR WARS Jedi: Fallen Order™ ,1172380.0,"Action, Adventure",81,Unknown
SUPERHOT VR,617830.0,"Action, Indie",83,2017.0
Sekiro™: Shadows Die Twice,814380.0,"Action, Adventure",88,Unknown
Shin Megami Tensei V: Vengeance,1875830.0,"Adventure, RPG",90,2024.0
Stampede: Racing Royale,1851350.0,"Casual, Massively Multiplayer, Racing",N/A,2024.0
TUNIC,553420.0,"Action, Adventure, RPG",85,Unknown
Witchfire,3156770.0,"Action, Early Access",N/A,2024.0
Wolfenstein II: The New Colossus,612880.0,Action,86,2017.0
Yakuza 0,638970.0,"Action, Adventure, RPG",86,2018.0
Yakuza 3 Remastered,1088710.0,"Action, Adventure",N/A,2021.0
Yakuza 4 Remastered,1105500.0,"Action, Adventure",N/A,2021.0
Yakuza 5 Remastered,1105510.0,"Action, Adventure",N/A,2021.0
Yakuza 6: The Song of Life,1388590.0,"Action, Adventure",N/A,2021.0
Yakuza Kiwami,834530.0,"Action, Adventure, RPG",80,2019.0
Yakuza Kiwami 2,927380.0,"Action, Adventure, RPG",82,Unknown
fpsVR,908520.0,"Indie, Utilities",N/A,2018.0
Summary,,,,N/A
